target_name,s_ra,s_dec,dataset,MJD-OBS,em,coord_block,temp_block,cluster
MACS0417-NCF-NIRSPEC-TARGETS-V0,64.37134708333333,-11.825519444444469,JWST,59954.29145380023,2950.0,"(643, -119)",8564,0
CEERS-NIRSPEC-P10-PRISM-MSATA,214.9116945833333,52.85838888888889,JWST,59938.133788927546,2950.0,"(2149, 528)",8562,0
UNKNOWN,0.9400388290707978,-11.298082199148649,JWST,60138.99239238947,1147.5,"(9, -113)",8591,0
UNKNOWN,349.2433900695672,-7.960461626940773,JWST,60645.389333072046,2355.0,"(3492, -80)",8663,0
P1-GO-2674-FINAL-CAT,189.26820166666667,62.25569166666666,JWST,60020.33507707622,1873.5,"(1892, 622)",8574,0
UNKNOWN,142.95473696144103,8.336027480306761,JWST,60054.171510965854,1147.5,"(1429, 83)",8579,0
05373962-2837346,84.41530343879859,-28.6263161276259,JWST,60676.355951948615,3357.5,"(844, -287)",8668,0
2MASS-12583195+1223422,194.6331510035036,12.39510294574876,JWST,60121.01167979167,2121.5,"(1946, 123)",8588,0
2MASS-08414471-7902531,130.43517530248715,-79.0479441920387,JWST,60459.85046788194,2121.5,"(1304, -791)",8637,0
AURORA_GOODSN_inputcat_v11,189.20750708333333,62.245713888888886,JWST,60299.39175016597,2850.0,"(1892, 622)",8614,0
UNKNOWN,346.01576063109286,-62.81302017889518,JWST,60510.61035766198,900.0,"(3460, -629)",8644,0
TOP-CLOUD-EDGE-CO-FILTER-R,166.67515791666668,-77.34544722222222,JWST,60417.87634479022,1845.0,"(1666, -774)",8631,0
UNKNOWN,85.15993106492765,-69.49784322805208,JWST,60720.61624297494,4433.0,"(851, -695)",8674,0
UNKNOWN,187.90127574797947,-16.328222719943433,JWST,60127.754039087326,4433.0,"(1879, -164)",8589,0
UNKNOWN,17.99860601592722,-38.15039582956008,JWST,60603.60155917356,4433.0,"(179, -382)",8657,0
UNKNOWN,169.99835150050927,6.506692680163404,JWST,60331.30139780637,1500.0,"(1699, 65)",8618,0
UNKNOWN,34.18561013791369,-5.034808114268151,JWST,60671.12406497882,4433.0,"(341, -51)",8667,0
UNKNOWN,162.70158866751947,0.4029255354847541,JWST,60462.656957614585,1499.5,"(1627, 4)",8637,0
A2744_NIRSpec_v21_obs12,3.5040270833333333,-30.34701388888891,JWST,60242.1118231868,2950.0,"(35, -304)",8606,0
ASTROFIELD-APA-307P5,80.49226041666667,-69.49710833333336,JWST,59726.58606242431,1150.0,"(804, -695)",8532,0
0510+2315,77.50862021190257,23.261247008306203,JWST,60348.008845217824,3985.0,"(775, 232)",8621,0
GOODSS2010,53.14846708333333,-27.704494444444435,JWST,60231.19511036365,2950.0,"(531, -278)",8604,0
ABELL370,39.97535416666667,-1.5760444444444488,JWST,60304.59049576331,3560.0,"(399, -16)",8614,0
UNKNOWN,34.50326741821432,-5.28897269446329,JWST,60175.73001641082,4433.0,"(345, -53)",8596,0
UNKNOWN,189.06094413062127,62.42081590383712,JWST,60731.253542632345,1990.5,"(1890, 624)",8675,0
GOODSN2004,189.31819541666667,62.21063055555556,JWST,60028.89068225648,2950.0,"(1893, 622)",8575,0
UNKNOWN,159.21032948773103,1.7162034530397183,JWST,60054.28910824878,1500.0,"(1592, 17)",8579,0
RXCJ2248-UPDATED,342.18204625000004,-44.5321222222222,JWST,59892.58123188472,2850.0,"(3421, -446)",8556,0
UDS_cat_visit2_EOSA,34.371536666666664,-5.197036111111117,JWST,60675.54071621342,2950.0,"(343, -52)",8667,0
UNKNOWN,189.1859243850255,62.17908443003441,JWST,60714.94986479711,4433.0,"(1891, 621)",8673,0
UNKNOWN,170.0045024045162,6.569864305734539,JWST,59924.2681114342,4400.0,"(1700, 65)",8560,0
03481148-7441388,57.04944631727402,-74.69394889655011,JWST,60558.42163554815,3357.5,"(570, -747)",8651,0
UNKNOWN,155.31277768577584,18.07506275586537,JWST,60452.383135411976,1950.0,"(1553, 180)",8636,0
Combined_Final_Catalog,14.776038749999998,-72.17982222222224,JWST,60430.50919110266,1873.5,"(147, -722)",8632,0
UNKNOWN,189.4823411272016,62.14533999134332,JWST,60731.54896008645,4433.0,"(1894, 621)",8675,0
UNKNOWN,214.93937323820967,53.04639076500993,JWST,60722.80781164231,4433.0,"(2149, 530)",8674,0
COSMOS-2-TILE-20,150.07065833333334,2.321625,JWST,60276.12526055671,2771.5,"(1500, 23)",8610,0
UNKNOWN,188.876410525362,62.38659221549359,JWST,60716.42887585573,4433.0,"(1888, 623)",8673,0
CEERS-NIRSPEC-P4-PRISM-MSATA,214.85573791666667,52.85559444444445,JWST,59934.30567789746,2950.0,"(2148, 528)",8562,0
2024aecx,166.45607208333337,-0.0348444444444453,JWST,60691.89297413866,3330.0,"(1664, -1)",8670,0
SN-2012AW,160.97389583333333,11.671563888888889,JWST,60673.791895177084,5600.0,"(1609, 116)",8667,0
UDS_P2_visit3_EOSA,34.371536666666664,-5.197036111111117,JWST,60680.36359701204,2950.0,"(343, -52)",8668,0
UNKNOWN,345.88698663341466,-62.8503371596165,JWST,60509.30577004624,900.0,"(3458, -629)",8644,0
CEERS-NIRSPEC-P7-PRISM-MSATA,215.19046458333327,53.04450833333333,JWST,59937.93993509792,2950.0,"(2151, 530)",8562,0
URANUS,42.32484948642129,15.910735372292844,JWST,59952.60251262639,5600.0,"(423, 159)",8564,0
RXCJ2248-FINAL-obs51,342.17901166666667,-44.53449166666667,JWST,60089.12830638125,2850.0,"(3421, -446)",8584,0
UNKNOWN,323.12276431462914,0.0201600279712815,JWST,60241.43479560567,2950.0,"(3231, 0)",8605,0
msa_cat_plan1b_vfin,3.5814008333333334,-30.38124722222221,JWST,60626.33460285695,3985.0,"(35, -304)",8660,0
UNKNOWN,150.52440903481485,2.101865805227088,JWST,60456.04693084254,1950.0,"(1505, 21)",8636,0
UNKNOWN,36.769674682336216,-4.6284170683627845,JWST,60519.69314029919,1147.5,"(367, -47)",8645,0
BET-DRA-BACKGROUND,262.5831710382793,52.45118754912499,JWST,59728.7186029236,5600.0,"(2625, 524)",8532,0
NGC3621,169.56792000000002,-32.812599999999975,JWST,60474.82984803056,7700.0,"(1695, -329)",8639,0
2MASS-04082154+1824061,62.089797379706674,18.401720018050423,JWST,59854.172812881945,2121.5,"(620, 184)",8550,0
UNKNOWN,53.4985134444593,-36.220033544567,JWST,60652.811325379065,1990.5,"(534, -363)",8664,0
CEERS-NIRSPEC-P4-MR-MSATA,214.85573791666667,52.85559444444445,JWST,59934.14545620764,2850.0,"(2148, 528)",8562,0
2MASS_J06395596-7418446,99.98376379388408,-74.31239915628124,JWST,60385.45470343657,7500.0,"(999, -744)",8626,0
UNKNOWN,351.2919432505385,-12.03301534537784,JWST,60614.67825611794,1499.5,"(3512, -121)",8659,0
J1110M1329,167.6415,-13.49599999999998,JWST,60113.3964343717,4400.0,"(1676, -135)",8587,0
UNKNOWN,14.498770847146876,-72.17247913520507,JWST,60589.2697015081,900.0,"(144, -722)",8655,0
2MASS-05314068-0753023,82.91948229037173,-7.883885979676657,JWST,60742.97218861111,2121.5,"(829, -79)",8677,0
UNKNOWN,227.1424580812244,4.587437449170219,JWST,60488.84454049896,1500.0,"(2271, 45)",8641,0
UDS-THREEDHST-FINAL-V7-OBS300,34.490649999999995,-5.163650000000018,JWST,59793.02417888125,2950.0,"(344, -52)",8541,0
2MASS-05562621-6359103,89.10908954960169,-63.98619513912784,JWST,59955.77443416667,2121.5,"(891, -640)",8565,0
J0706P2921,106.6099125,29.35151666666667,JWST,59870.11792760087,4400.0,"(1066, 293)",8552,0
P2017,215.1495766666667,53.050397222222216,JWST,60011.89027823403,2950.0,"(2151, 530)",8573,0
HD-10472,25.101132748991645,-60.999134434844485,JWST,60545.73134220324,3357.5,"(251, -610)",8649,0
LOW-BACKGROUND-POINTING552,120.02083333333331,-60.002777777777794,JWST,59705.11734928819,5600.0,"(1200, -601)",8529,0
F115W_refs-isolated-pruned_MSA,9.115837916666669,39.592625000000005,JWST,60658.02377115116,4005.0,"(91, 395)",8665,0
P2020,214.88607541666664,52.84597222222222,JWST,60012.23219860347,2950.0,"(2148, 528)",8573,0
GOODSN2004,189.31819541666667,62.21063055555556,JWST,60393.253297910414,3330.0,"(1893, 622)",8627,0
K5-2MASS-16235565+2823024,245.981827482028,28.38403757349021,JWST,59723.13822237454,3357.5,"(2459, 283)",8531,0
UNKNOWN,233.7532987883673,23.405514963297502,JWST,60009.32728545486,1147.5,"(2337, 234)",8572,0
51-Eri,69.40084306048074,-2.4739710347768904,JWST,60204.54383793981,3357.5,"(694, -25)",8600,0
EUROPA,359.1100333938772,-1.965317860443252,JWST,59906.286250696765,2121.5,"(3591, -20)",8558,0
